YYYY	MM	DD	hh	mm	Br
1999	1	1	0	0	
1999	1	2	0	0	
1999	1	3	0	0	
1999	1	4	0	0	
1999	1	5	0	0	
1999	1	6	0	0	
1999	1	7	0	0	
1999	1	8	0	0	
1999	1	9	0	0	
1999	1	10	0	0	
1999	1	11	0	0	
1999	1	12	0	0	
1999	1	13	0	0	
1999	1	14	0	0	
1999	1	15	0	0	
1999	1	16	0	0	
1999	1	17	0	0	
1999	1	18	0	0	
1999	1	19	0	0	
1999	1	20	0	0	
1999	1	21	0	0	
1999	1	22	0	0	
1999	1	23	0	0	
1999	1	24	0	0	
1999	1	25	0	0	
1999	1	26	0	0	
1999	1	27	0	0	
1999	1	28	0	0	
1999	1	29	0	0	
1999	1	30	0	0	
1999	1	31	0	0	
1999	2	1	0	0	
1999	2	2	0	0	
1999	2	3	0	0	
1999	2	4	0	0	
1999	2	5	0	0	
1999	2	6	0	0	
1999	2	7	0	0	
1999	2	8	0	0	
1999	2	9	0	0	
1999	2	10	0	0	
1999	2	11	0	0	
1999	2	12	0	0	
1999	2	13	0	0	
1999	2	14	0	0	
1999	2	15	0	0	
1999	2	16	0	0	
1999	2	17	0	0	
1999	2	18	0	0	
1999	2	19	0	0	
1999	2	20	0	0	
1999	2	21	0	0	
1999	2	22	0	0	
1999	2	23	0	0	
1999	2	24	0	0	
1999	2	25	0	0	
1999	2	26	0	0	
1999	2	27	0	0	
1999	2	28	0	0	
1999	3	1	0	0	
1999	3	2	0	0	
1999	3	3	0	0	
1999	3	4	0	0	
1999	3	5	0	0	
1999	3	6	0	0	
1999	3	7	0	0	
1999	3	8	0	0	
1999	3	9	0	0	
1999	3	10	0	0	
1999	3	11	0	0	
1999	3	12	0	0	
1999	3	13	0	0	
1999	3	14	0	0	
1999	3	15	0	0	
1999	3	16	0	0	
1999	3	17	0	0	
1999	3	18	0	0	
1999	3	19	0	0	
1999	3	20	0	0	
1999	3	21	0	0	
1999	3	22	0	0	
1999	3	23	0	0	
1999	3	24	0	0	
1999	3	25	0	0	
1999	3	26	0	0	
1999	3	27	0	0	
1999	3	28	0	0	
1999	3	29	0	0	
1999	3	30	0	0	
1999	3	31	0	0	
1999	4	1	0	0	
1999	4	2	0	0	
1999	4	3	0	0	
1999	4	4	0	0	
1999	4	5	0	0	
1999	4	6	0	0	
1999	4	7	0	0	
1999	4	8	0	0	
1999	4	9	0	0	
1999	4	10	0	0	
1999	4	11	0	0	
1999	4	12	0	0	
1999	4	13	0	0	
1999	4	14	0	0	
1999	4	15	0	0	
1999	4	16	0	0	
1999	4	17	0	0	
1999	4	18	0	0	
1999	4	19	0	0	
1999	4	20	0	0	
1999	4	21	0	0	
1999	4	22	0	0	
1999	4	23	0	0	
1999	4	24	0	0	
1999	4	25	0	0	
1999	4	26	0	0	
1999	4	27	0	0	
1999	4	28	0	0	
1999	4	29	0	0	
1999	4	30	0	0	
1999	5	1	0	0	
1999	5	2	0	0	
1999	5	3	0	0	
1999	5	4	0	0	
1999	5	5	0	0	
1999	5	6	0	0	
1999	5	7	0	0	
1999	5	8	0	0	
1999	5	9	0	0	
1999	5	10	0	0	
1999	5	11	0	0	
1999	5	12	0	0	
1999	5	13	0	0	
1999	5	14	0	0	
1999	5	15	0	0	
1999	5	16	0	0	
1999	5	17	0	0	
1999	5	18	0	0	
1999	5	19	0	0	
1999	5	20	0	0	
1999	5	21	0	0	
1999	5	22	0	0	
1999	5	23	0	0	
1999	5	24	0	0	
1999	5	25	0	0	
1999	5	26	0	0	
1999	5	27	0	0	
1999	5	28	0	0	
1999	5	29	0	0	
1999	5	30	0	0	
1999	5	31	0	0	
1999	6	1	0	0	
1999	6	2	0	0	
1999	6	3	0	0	
1999	6	4	0	0	
1999	6	5	0	0	
1999	6	6	0	0	
1999	6	7	0	0	
1999	6	8	0	0	
1999	6	9	0	0	
1999	6	10	0	0	
1999	6	11	0	0	
1999	6	12	0	0	
1999	6	13	0	0	
1999	6	14	0	0	
1999	6	15	0	0	
1999	6	16	0	0	
1999	6	17	0	0	
1999	6	18	0	0	
1999	6	19	0	0	
1999	6	20	0	0	
1999	6	21	0	0	
1999	6	22	0	0	
1999	6	23	0	0	
1999	6	24	0	0	
1999	6	25	0	0	
1999	6	26	0	0	
1999	6	27	0	0	
1999	6	28	0	0	
1999	6	29	0	0	
1999	6	30	0	0	
1999	7	1	0	0	
1999	7	2	0	0	
1999	7	3	0	0	
1999	7	4	0	0	
1999	7	5	0	0	
1999	7	6	0	0	
1999	7	7	0	0	
1999	7	8	0	0	
1999	7	9	0	0	
1999	7	10	0	0	
1999	7	11	0	0	
1999	7	12	0	0	
1999	7	13	0	0	
1999	7	14	0	0	
1999	7	15	0	0	
1999	7	16	0	0	
1999	7	17	0	0	
1999	7	18	0	0	
1999	7	19	0	0	
1999	7	20	0	0	
1999	7	21	0	0	
1999	7	22	0	0	
1999	7	23	0	0	
1999	7	24	0	0	
1999	7	25	0	0	
1999	7	26	0	0	
1999	7	27	0	0	
1999	7	28	0	0	
1999	7	29	0	0	
1999	7	30	0	0	
1999	7	31	0	0	
1999	8	1	0	0	
1999	8	2	0	0	
1999	8	3	0	0	
1999	8	4	0	0	
1999	8	5	0	0	
1999	8	6	0	0	
1999	8	7	0	0	
1999	8	8	0	0	
1999	8	9	0	0	
1999	8	10	0	0	
1999	8	11	0	0	
1999	8	12	0	0	
1999	8	13	0	0	
1999	8	14	0	0	
1999	8	15	0	0	
1999	8	16	0	0	
1999	8	17	0	0	
1999	8	18	0	0	
1999	8	19	0	0	
1999	8	20	0	0	
1999	8	21	0	0	
1999	8	22	0	0	
1999	8	23	0	0	
1999	8	24	0	0	
1999	8	25	0	0	
1999	8	26	0	0	
1999	8	27	0	0	
1999	8	28	0	0	
1999	8	29	0	0	
1999	8	30	0	0	
1999	8	31	0	0	
1999	9	1	0	0	
1999	9	2	0	0	
1999	9	3	0	0	
1999	9	4	0	0	
1999	9	5	0	0	
1999	9	6	0	0	
1999	9	7	0	0	
1999	9	8	0	0	
1999	9	9	0	0	
1999	9	10	0	0	
1999	9	11	0	0	
1999	9	12	0	0	
1999	9	13	0	0	
1999	9	14	0	0	
1999	9	15	0	0	
1999	9	16	0	0	
1999	9	17	0	0	
1999	9	18	0	0	
1999	9	19	0	0	
1999	9	20	0	0	
1999	9	21	0	0	
1999	9	22	0	0	
1999	9	23	0	0	
1999	9	24	0	0	
1999	9	25	0	0	
1999	9	26	0	0	
1999	9	27	0	0	
1999	9	28	0	0	
1999	9	29	0	0	
1999	9	30	0	0	
1999	10	1	0	0	
1999	10	2	0	0	
1999	10	3	0	0	
1999	10	4	0	0	
1999	10	5	0	0	
1999	10	6	0	0	
1999	10	7	0	0	
1999	10	8	0	0	
1999	10	9	0	0	
1999	10	10	0	0	
1999	10	11	0	0	
1999	10	12	0	0	
1999	10	13	0	0	
1999	10	14	0	0	
1999	10	15	0	0	
1999	10	16	0	0	
1999	10	17	0	0	
1999	10	18	0	0	
1999	10	19	0	0	
1999	10	20	0	0	
1999	10	21	0	0	
1999	10	22	0	0	
1999	10	23	0	0	
1999	10	24	0	0	
1999	10	25	0	0	
1999	10	26	0	0	
1999	10	27	0	0	
1999	10	28	0	0	
1999	10	29	0	0	
1999	10	30	0	0	
1999	10	31	0	0	
1999	11	1	0	0	
1999	11	2	0	0	
1999	11	3	0	0	
1999	11	4	0	0	
1999	11	5	0	0	
1999	11	6	0	0	
1999	11	7	0	0	
1999	11	8	0	0	
1999	11	9	0	0	
1999	11	10	0	0	
1999	11	11	0	0	
1999	11	12	0	0	79900
1999	11	13	0	0	
1999	11	14	0	0	
1999	11	15	0	0	
1999	11	16	0	0	
1999	11	17	0	0	
1999	11	18	0	0	
1999	11	19	0	0	
1999	11	20	0	0	
1999	11	21	0	0	
1999	11	22	0	0	
1999	11	23	0	0	
1999	11	24	0	0	
1999	11	25	0	0	
1999	11	26	0	0	
1999	11	27	0	0	
1999	11	28	0	0	
1999	11	29	0	0	
1999	11	30	0	0	
1999	12	1	0	0	
1999	12	2	0	0	
1999	12	3	0	0	
1999	12	4	0	0	
1999	12	5	0	0	
1999	12	6	0	0	
1999	12	7	0	0	
1999	12	8	0	0	
1999	12	9	0	0	
1999	12	10	0	0	
1999	12	11	0	0	
1999	12	12	0	0	
1999	12	13	0	0	
1999	12	14	0	0	
1999	12	15	0	0	
1999	12	16	0	0	
1999	12	17	0	0	
1999	12	18	0	0	
1999	12	19	0	0	
1999	12	20	0	0	
1999	12	21	0	0	
1999	12	22	0	0	
1999	12	23	0	0	
1999	12	24	0	0	
1999	12	25	0	0	
1999	12	26	0	0	
1999	12	27	0	0	
1999	12	28	0	0	
1999	12	29	0	0	
1999	12	30	0	0	
1999	12	31	0	0	
2000	1	1	0	0	
2000	1	2	0	0	
2000	1	3	0	0	
2000	1	4	0	0	
2000	1	5	0	0	
2000	1	6	0	0	
2000	1	7	0	0	
2000	1	8	0	0	
2000	1	9	0	0	
2000	1	10	0	0	
2000	1	11	0	0	
2000	1	12	0	0	
2000	1	13	0	0	
2000	1	14	0	0	
2000	1	15	0	0	
2000	1	16	0	0	
2000	1	17	0	0	
2000	1	18	0	0	
2000	1	19	0	0	
2000	1	20	0	0	
2000	1	21	0	0	
2000	1	22	0	0	
2000	1	23	0	0	
2000	1	24	0	0	
2000	1	25	0	0	
2000	1	26	0	0	
2000	1	27	0	0	
2000	1	28	0	0	
2000	1	29	0	0	
2000	1	30	0	0	
2000	1	31	0	0	
2000	2	1	0	0	
2000	2	2	0	0	
2000	2	3	0	0	
2000	2	4	0	0	
2000	2	5	0	0	
2000	2	6	0	0	
2000	2	7	0	0	
2000	2	8	0	0	
2000	2	9	0	0	
2000	2	10	0	0	
2000	2	11	0	0	
2000	2	12	0	0	
2000	2	13	0	0	
2000	2	14	0	0	
2000	2	15	0	0	
2000	2	16	0	0	
2000	2	17	0	0	
2000	2	18	0	0	
2000	2	19	0	0	
2000	2	20	0	0	
2000	2	21	0	0	
2000	2	22	0	0	
2000	2	23	0	0	
2000	2	24	0	0	
2000	2	25	0	0	
2000	2	26	0	0	
2000	2	27	0	0	
2000	2	28	0	0	
2000	2	29	0	0	
2000	3	1	0	0	
2000	3	2	0	0	
2000	3	3	0	0	
2000	3	4	0	0	
2000	3	5	0	0	
2000	3	6	0	0	
2000	3	7	0	0	
2000	3	8	0	0	
2000	3	9	0	0	
2000	3	10	0	0	
2000	3	11	0	0	
2000	3	12	0	0	
2000	3	13	0	0	
2000	3	14	0	0	
2000	3	15	0	0	
2000	3	16	0	0	
2000	3	17	0	0	
2000	3	18	0	0	
2000	3	19	0	0	
2000	3	20	0	0	
2000	3	21	0	0	
2000	3	22	0	0	
2000	3	23	0	0	
2000	3	24	0	0	
2000	3	25	0	0	
2000	3	26	0	0	
2000	3	27	0	0	
2000	3	28	0	0	
2000	3	29	0	0	
2000	3	30	0	0	
2000	3	31	0	0	
2000	4	1	0	0	
2000	4	2	0	0	
2000	4	3	0	0	
2000	4	4	0	0	
2000	4	5	0	0	
2000	4	6	0	0	
2000	4	7	0	0	
2000	4	8	0	0	
2000	4	9	0	0	
2000	4	10	0	0	
2000	4	11	0	0	
2000	4	12	0	0	
2000	4	13	0	0	
2000	4	14	0	0	
2000	4	15	0	0	
2000	4	16	0	0	
2000	4	17	0	0	
2000	4	18	0	0	
2000	4	19	0	0	
2000	4	20	0	0	
2000	4	21	0	0	
2000	4	22	0	0	
2000	4	23	0	0	
2000	4	24	0	0	
2000	4	25	0	0	
2000	4	26	0	0	
2000	4	27	0	0	
2000	4	28	0	0	
2000	4	29	0	0	
2000	4	30	0	0	
2000	5	1	0	0	
2000	5	2	0	0	
2000	5	3	0	0	
2000	5	4	0	0	
2000	5	5	0	0	
2000	5	6	0	0	
2000	5	7	0	0	
2000	5	8	0	0	
2000	5	9	0	0	
2000	5	10	0	0	
2000	5	11	0	0	
2000	5	12	0	0	
2000	5	13	0	0	
2000	5	14	0	0	
2000	5	15	0	0	
2000	5	16	0	0	
2000	5	17	0	0	
2000	5	18	0	0	
2000	5	19	0	0	
2000	5	20	0	0	
2000	5	21	0	0	
2000	5	22	0	0	
2000	5	23	0	0	
2000	5	24	0	0	
2000	5	25	0	0	
2000	5	26	0	0	
2000	5	27	0	0	
2000	5	28	0	0	
2000	5	29	0	0	
2000	5	30	0	0	
2000	5	31	0	0	
2000	6	1	0	0	
2000	6	2	0	0	
2000	6	3	0	0	
2000	6	4	0	0	
2000	6	5	0	0	
2000	6	6	0	0	
2000	6	7	0	0	
2000	6	8	0	0	
2000	6	9	0	0	
2000	6	10	0	0	
2000	6	11	0	0	
2000	6	12	0	0	
2000	6	13	0	0	
2000	6	14	0	0	
2000	6	15	0	0	
2000	6	16	0	0	
2000	6	17	0	0	
2000	6	18	0	0	
2000	6	19	0	0	
2000	6	20	0	0	
2000	6	21	0	0	
2000	6	22	0	0	
2000	6	23	0	0	
2000	6	24	0	0	
