YYYY	MM	DD	hh	mm	TA	TA_min	TA_max
2038	9	13	0	0	20.2	11.0	28.8
2038	9	14	0	0	20.6	12.0	31.0
2038	9	15	0	0	22.0	13.3	32.0
2038	9	16	0	0	21.8	14.7	31.6
2038	9	17	0	0	19.9	14.7	26.8
2038	9	18	0	0	19.1	11.8	26.5
2038	9	19	0	0	18.8	11.3	26.3
2038	9	20	0	0	18.2	12.5	25.5
2038	9	21	0	0	19.2	10.3	27.2
2038	9	22	0	0	19.9	12.6	26.9
2038	9	23	0	0	19.7	14.9	23.6
2038	9	24	0	0	18.8	15.1	23.1
2038	9	25	0	0	11.6	9.0	16.1
2038	9	26	0	0	8.8	8.4	9.3
2038	9	27	0	0	9.5	4.7	13.2
2038	9	28	0	0	10.5	3.1	16.5
2038	9	29	0	0	12.3	9.0	14.8
2038	9	30	0	0	12.4	6.3	19.9
2038	10	1	0	0	12.9	7.1	20.1
2038	10	2	0	0	13.3	10.1	16.6
2038	10	3	0	0	12.9	8.0	16.9
2038	10	4	0	0	13.6	10.1	17.9
2038	10	5	0	0	12.6	10.2	14.8
2038	10	6	0	0	13.6	11.6	16.8
2038	10	7	0	0	12.8	10.8	15.1
2038	10	8	0	0	15.4	12.0	19.4
2038	10	9	0	0	16.2	13.8	19.1
2038	10	10	0	0	10.3	3.9	14.7
2038	10	11	0	0	6.6	1.9	11.6
2038	10	12	0	0	6.8	1.8	11.3
2038	10	13	0	0	6.7	1.2	12.9
2038	10	14	0	0	7.4	3.4	13.3
2038	10	15	0	0	8.0	4.6	10.1
2038	10	16	0	0	9.4	7.8	11.0
2038	10	17	0	0	8.4	6.5	11.1
2038	10	18	0	0	8.7	6.5	13.2
2038	10	19	0	0	8.9	2.7	15.0
2038	10	20	0	0	10.5	1.7	19.9
2038	10	21	0	0	14.9	9.1	19.4
2038	10	22	0	0	17.4	14.3	23.0
2038	10	23	0	0	15.0	13.7	16.1
2038	10	24	0	0	13.5	8.6	17.0
2038	10	25	0	0	12.5	4.6	19.1
2038	10	26	0	0	9.7	7.7	12.4
2038	10	27	0	0	10.1	7.1	13.0
2038	10	28	0	0	13.5	10.9	15.3
2038	10	29	0	0	12.8	11.5	14.0
2038	10	30	0	0	12.7	4.8	16.4
2038	10	31	0	0	9.0	2.8	18.0
2038	11	1	0	0	16.6	11.8	19.7
2038	11	2	0	0	19.8	17.4	22.4
2038	11	3	0	0	11.2	8.1	19.1
2038	11	4	0	0	8.3	7.5	9.5
2038	11	5	0	0	8.7	4.9	12.0
2038	11	6	0	0	4.5	1.1	10.1
2038	11	7	0	0	5.9	0.6	13.3
2038	11	8	0	0	7.4	2.8	13.6
2038	11	9	0	0	10.3	5.6	17.3
2038	11	10	0	0	7.0	3.5	10.4
2038	11	11	0	0	8.7	7.4	10.6
2038	11	12	0	0	10.2	5.2	14.4
2038	11	13	0	0	10.7	3.2	17.9
2038	11	14	0	0	12.6	6.1	18.7
2038	11	15	0	0	14.6	7.4	19.7
2038	11	16	0	0	11.3	10.1	14.8
2038	11	17	0	0	9.4	3.2	13.5
2038	11	18	0	0	7.2	1.0	16.0
2038	11	19	0	0	11.1	7.2	15.6
2038	11	20	0	0	5.0	-1.4	8.6
2038	11	21	0	0	-0.4	-3.7	4.2
2038	11	22	0	0	1.4	-3.5	7.5
2038	11	23	0	0	3.7	-0.6	9.0
2038	11	24	0	0	1.6	-2.3	7.6
2038	11	25	0	0	1.0	-1.3	4.3
2038	11	26	0	0	1.3	-2.6	9.1
2038	11	27	0	0	2.5	-2.3	8.6
2038	11	28	0	0	0.7	0.1	1.5
2038	11	29	0	0	0.6	-4.0	4.9
2038	11	30	0	0	-1.4	-6.2	3.4
2038	12	1	0	0	2.2	0.4	4.1
2038	12	2	0	0	2.1	0.8	4.3
2038	12	3	0	0	3.5	0.7	6.9
2038	12	4	0	0	5.6	2.9	9.0
2038	12	5	0	0	3.5	1.9	5.2
2038	12	6	0	0	3.9	3.1	4.9
2038	12	7	0	0	3.8	-1.5	6.8
2038	12	8	0	0	1.0	-1.8	2.5
2038	12	9	0	0	2.0	1.0	3.0
2038	12	10	0	0	0.8	-3.1	2.7
2038	12	11	0	0	1.6	-4.2	8.4
2038	12	12	0	0	7.9	5.9	9.4
2038	12	13	0	0	6.3	0.9	8.1
2038	12	14	0	0	3.7	-1.3	9.6
2038	12	15	0	0	7.0	4.0	11.1
2038	12	16	0	0	6.3	2.5	10.8
2038	12	17	0	0	7.7	0.9	12.4
2038	12	18	0	0	6.5	2.9	11.4
2038	12	19	0	0	5.5	1.1	8.2
2038	12	20	0	0	8.8	5.7	11.4
2038	12	21	0	0	8.7	4.0	12.5
2038	12	22	0	0	14.1	11.8	15.4
2038	12	23	0	0	13.4	11.1	15.7
2038	12	24	0	0	8.0	2.0	11.4
2038	12	25	0	0	2.2	-2.0	3.5
2038	12	26	0	0	0.4	-2.2	4.3
2038	12	27	0	0	4.2	-1.9	10.1
2038	12	28	0	0	5.4	2.1	8.3
2038	12	29	0	0	5.9	4.7	7.4
2038	12	30	0	0	4.6	3.1	5.6
2038	12	31	0	0	3.9	0.3	6.3
2039	1	1	0	0	2.8	0.8	4.9
2039	1	2	0	0	1.8	0.9	2.9
2039	1	3	0	0	0.8	0.1	1.5
2039	1	4	0	0	1.4	0.2	2.8
2039	1	5	0	0	1.1	0.3	1.8
2039	1	6	0	0	0.6	0.2	1.0
2039	1	7	0	0	1.6	0.2	2.9
2039	1	8	0	0	0.0	-4.7	3.9
2039	1	9	0	0	-1.1	-5.6	3.2
2039	1	10	0	0	-2.2	-7.7	3.4
2039	1	11	0	0	-3.3	-8.3	0.9
2039	1	12	0	0	2.5	-3.9	4.0
2039	1	13	0	0	3.6	-0.9	7.4
2039	1	14	0	0	1.5	0.1	7.3
2039	1	15	0	0	-1.7	-10.9	1.0
2039	1	16	0	0	-4.7	-10.7	-1.3
2039	1	17	0	0	1.3	-1.5	2.5
2039	1	18	0	0	2.5	1.0	3.8
2039	1	19	0	0	3.6	-1.3	7.0
2039	1	20	0	0	2.9	-1.4	9.0
2039	1	21	0	0	11.4	4.5	13.8
2039	1	22	0	0	9.3	0.2	15.5
2039	1	23	0	0	3.8	0.2	6.5
2039	1	24	0	0	2.6	1.1	4.6
2039	1	25	0	0	2.2	-0.3	3.9
2039	1	26	0	0	1.9	-2.2	4.0
2039	1	27	0	0	2.3	-1.1	5.7
2039	1	28	0	0	9.5	4.8	12.4
2039	1	29	0	0	9.9	7.5	12.2
2039	1	30	0	0	8.4	5.4	9.6
2039	1	31	0	0	3.6	2.2	5.4
2039	2	1	0	0	8.5	4.0	10.6
2039	2	2	0	0	11.2	7.9	13.5
2039	2	3	0	0	12.3	9.3	14.0
2039	2	4	0	0	9.0	2.7	13.0
2039	2	5	0	0	8.8	6.0	13.6
2039	2	6	0	0	7.4	6.6	8.3
2039	2	7	0	0	6.8	4.8	9.9
2039	2	8	0	0	2.2	0.1	4.9
2039	2	9	0	0	-0.7	-4.4	0.6
2039	2	10	0	0	-5.7	-6.9	-4.2
2039	2	11	0	0	-5.3	-12.1	-0.8
2039	2	12	0	0	-6.1	-13.7	0.4
2039	2	13	0	0	-3.3	-10.1	1.5
2039	2	14	0	0	-6.3	-14.5	0.3
2039	2	15	0	0	0.6	-8.2	8.1
2039	2	16	0	0	8.9	4.4	13.5
2039	2	17	0	0	8.9	0.8	12.5
2039	2	18	0	0	6.5	-1.2	14.2
2039	2	19	0	0	10.0	3.5	14.7
2039	2	20	0	0	8.3	0.5	19.2
2039	2	21	0	0	7.9	-0.4	18.0
2039	2	22	0	0	7.9	0.1	17.2
2039	2	23	0	0	10.1	2.4	19.1
2039	2	24	0	0	11.1	3.6	21.4
2039	2	25	0	0	11.3	2.6	21.4
2039	2	26	0	0	8.8	3.1	17.3
2039	2	27	0	0	7.3	0.6	12.0
2039	2	28	0	0	4.5	-0.2	11.1
2039	3	1	0	0	4.5	-2.2	12.0
2039	3	2	0	0	6.7	-1.4	16.7
2039	3	3	0	0	8.5	2.7	15.2
2039	3	4	0	0	10.9	7.7	14.8
2039	3	5	0	0	5.4	2.2	8.2
2039	3	6	0	0	3.8	-2.4	9.5
2039	3	7	0	0	4.5	-2.0	11.7
2039	3	8	0	0	2.5	-3.1	9.3
2039	3	9	0	0	3.2	-3.7	9.3
2039	3	10	0	0	7.5	2.5	12.1
2039	3	11	0	0	11.3	6.7	14.6
2039	3	12	0	0	8.5	5.6	11.1
2039	3	13	0	0	8.1	4.2	12.3
2039	3	14	0	0	4.7	3.2	6.1
2039	3	15	0	0	5.4	3.2	8.7
2039	3	16	0	0	5.1	3.5	7.9
2039	3	17	0	0	3.7	1.6	7.3
2039	3	18	0	0	2.6	-1.6	6.4
2039	3	19	0	0	1.8	-1.5	4.6
2039	3	20	0	0	1.6	-4.6	6.3
2039	3	21	0	0	3.4	-1.1	5.7
2039	3	22	0	0	3.3	-1.2	6.2
2039	3	23	0	0	6.0	0.4	11.5
2039	3	24	0	0	7.2	-1.7	17.1
2039	3	25	0	0	9.4	0.7	17.5
2039	3	26	0	0	11.4	2.2	18.0
2039	3	27	0	0	9.6	3.6	12.3
2039	3	28	0	0	8.9	-0.5	16.8
2039	3	29	0	0	12.2	2.1	22.0
2039	3	30	0	0	13.4	3.8	22.7
2039	3	31	0	0	15.5	5.1	26.2
2039	4	1	0	0	16.5	7.1	25.3
2039	4	2	0	0	10.3	4.0	15.4
2039	4	3	0	0	6.9	1.3	11.9
2039	4	4	0	0	6.9	-1.2	14.4
2039	4	5	0	0	5.9	0.0	13.5
2039	4	6	0	0	1.7	-2.4	5.5
2039	4	7	0	0	2.4	-0.7	5.4
2039	4	8	0	0	6.2	-0.2	11.5
2039	4	9	0	0	10.0	-0.8	18.0
2039	4	10	0	0	14.2	9.0	18.8
2039	4	11	0	0	12.6	3.2	19.9
2039	4	12	0	0	4.2	-0.3	9.1
2039	4	13	0	0	3.0	-1.4	8.2
2039	4	14	0	0	3.4	-3.1	9.5
2039	4	15	0	0	4.0	-1.5	10.3
2039	4	16	0	0	4.0	-2.7	10.0
2039	4	17	0	0	5.9	-3.0	12.3
2039	4	18	0	0	7.6	4.7	10.5
2039	4	19	0	0	6.7	1.3	11.8
2039	4	20	0	0	9.3	1.2	17.2
2039	4	21	0	0	11.4	2.2	18.8
2039	4	22	0	0	10.2	2.2	16.8
2039	4	23	0	0	10.1	0.6	18.7
2039	4	24	0	0	12.1	1.5	21.1
2039	4	25	0	0	11.3	3.9	18.4
2039	4	26	0	0	12.0	3.6	19.9
2039	4	27	0	0	10.9	1.8	18.5
2039	4	28	0	0	13.0	2.4	22.1
2039	4	29	0	0	13.3	8.8	17.2
2039	4	30	0	0	6.8	3.5	9.0
2039	5	1	0	0	6.6	2.5	9.5
2039	5	2	0	0	8.3	2.3	12.4
2039	5	3	0	0	9.5	1.0	15.9
2039	5	4	0	0	13.6	8.6	16.7
2039	5	5	0	0	9.3	6.9	12.3
2039	5	6	0	0	9.8	6.3	12.7
2039	5	7	0	0	9.6	2.6	14.3
2039	5	8	0	0	12.0	0.8	21.1
2039	5	9	0	0	20.2	7.6	30.2
2039	5	10	0	0	16.5	12.2	23.7
2039	5	11	0	0	12.6	10.5	13.9
2039	5	12	0	0	12.4	8.0	16.7
2039	5	13	0	0	11.2	6.6	15.0
2039	5	14	0	0	12.0	4.4	17.5
2039	5	15	0	0	12.0	9.8	15.1
2039	5	16	0	0	12.8	9.9	15.6
2039	5	17	0	0	11.6	9.9	14.9
2039	5	18	0	0	11.4	7.5	16.7
2039	5	19	0	0	10.7	7.6	16.3
2039	5	20	0	0	12.2	8.8	16.8
2039	5	21	0	0	12.4	9.1	16.7
2039	5	22	0	0	13.6	10.0	18.6
2039	5	23	0	0	13.3	7.3	17.9
2039	5	24	0	0	12.4	5.5	20.0
2039	5	25	0	0	12.4	8.4	16.6
2039	5	26	0	0	11.8	9.6	13.9
2039	5	27	0	0	12.3	6.6	18.1
2039	5	28	0	0	13.4	4.6	19.8
2039	5	29	0	0	16.1	8.7	22.1
2039	5	30	0	0	16.0	6.3	22.5
2039	5	31	0	0	16.7	7.1	23.4
2039	6	1	0	0	18.9	8.2	26.2
2039	6	2	0	0	19.9	9.9	27.5
2039	6	3	0	0	22.6	16.7	28.0
2039	6	4	0	0	22.3	16.7	28.0
2039	6	5	0	0	17.9	15.6	21.2
2039	6	6	0	0	15.7	14.6	16.9
2039	6	7	0	0	16.7	14.8	19.2
2039	6	8	0	0	17.7	15.7	21.8
2039	6	9	0	0	18.0	13.7	25.4
2039	6	10	0	0	19.4	11.9	25.8
2039	6	11	0	0	21.2	12.6	27.6
2039	6	12	0	0	21.7	13.8	27.9
2039	6	13	0	0	19.9	13.7	25.1
2039	6	14	0	0	20.0	10.0	27.5
2039	6	15	0	0	21.9	13.3	29.6
2039	6	16	0	0	23.9	13.7	32.4
2039	6	17	0	0	25.8	16.9	33.0
2039	6	18	0	0	26.2	19.9	32.7
2039	6	19	0	0	26.1	18.7	31.4
2039	6	20	0	0	22.3	15.9	28.1
2039	6	21	0	0	20.7	15.6	26.9
2039	6	22	0	0	19.6	15.7	24.5
2039	6	23	0	0	19.4	14.5	23.7
2039	6	24	0	0	18.5	14.5	24.3
2039	6	25	0	0	18.0	15.0	21.8
2039	6	26	0	0	19.7	13.8	25.3
2039	6	27	0	0	20.8	14.0	26.8
2039	6	28	0	0	20.8	16.6	27.3
2039	6	29	0	0	18.4	14.5	22.3
2039	6	30	0	0	15.5	13.7	18.9
2039	7	1	0	0	16.7	12.6	21.5
2039	7	2	0	0	17.9	10.4	23.9
2039	7	3	0	0	18.7	11.3	25.9
2039	7	4	0	0	19.1	15.6	24.2
2039	7	5	0	0	20.2	15.7	24.7
2039	7	6	0	0	17.8	13.9	23.1
2039	7	7	0	0	18.9	14.1	25.3
2039	7	8	0	0	17.6	15.7	20.3
2039	7	9	0	0	18.6	12.9	23.7
2039	7	10	0	0	18.9	10.9	26.5
2039	7	11	0	0	19.3	14.3	23.9
2039	7	12	0	0	19.4	12.4	24.8
2039	7	13	0	0	16.3	12.1	18.7
2039	7	14	0	0	16.3	12.1	20.1
2039	7	15	0	0	17.6	14.6	22.0
2039	7	16	0	0	18.4	15.5	22.4
2039	7	17	0	0	19.4	16.2	23.2
2039	7	18	0	0	20.8	15.1	26.1
2039	7	19	0	0	21.4	14.0	27.2
2039	7	20	0	0	19.4	13.4	25.0
2039	7	21	0	0	20.0	12.7	26.1
2039	7	22	0	0	20.5	13.4	26.8
2039	7	23	0	0	21.3	13.7	28.1
2039	7	24	0	0	21.9	17.7	26.1
2039	7	25	0	0	20.6	16.1	26.1
2039	7	26	0	0	20.9	14.5	26.4
2039	7	27	0	0	21.0	13.9	25.9
2039	7	28	0	0	20.6	16.5	25.3
2039	7	29	0	0	20.8	14.4	25.9
2039	7	30	0	0	20.4	12.4	27.9
2039	7	31	0	0	20.3	16.4	24.5
2039	8	1	0	0	16.4	14.6	19.4
2039	8	2	0	0	16.6	10.6	23.1
2039	8	3	0	0	15.6	11.0	18.9
2039	8	4	0	0	16.6	13.9	19.1
2039	8	5	0	0	17.7	12.2	22.3
2039	8	6	0	0	19.7	14.8	23.9
2039	8	7	0	0	16.7	13.6	18.9
2039	8	8	0	0	18.2	14.0	22.0
2039	8	9	0	0	18.3	11.0	23.9
2039	8	10	0	0	19.9	12.0	27.3
2039	8	11	0	0	21.5	13.9	29.1
2039	8	12	0	0	22.8	14.7	30.3
2039	8	13	0	0	25.0	17.7	30.5
2039	8	14	0	0	24.1	16.6	31.3
2039	8	15	0	0	23.1	17.6	30.3
2039	8	16	0	0	19.9	14.7	22.9
2039	8	17	0	0	16.5	11.9	21.5
2039	8	18	0	0	18.1	15.5	21.5
2039	8	19	0	0	18.8	16.1	22.2
2039	8	20	0	0	19.3	14.4	26.0
2039	8	21	0	0	21.2	12.3	29.2
2039	8	22	0	0	19.4	16.0	21.8
2039	8	23	0	0	16.8	12.3	20.9
2039	8	24	0	0	17.7	12.4	22.2
2039	8	25	0	0	16.8	11.5	24.0
2039	8	26	0	0	15.3	9.3	20.2
2039	8	27	0	0	14.7	10.9	19.9
2039	8	28	0	0	14.4	11.6	16.5
2039	8	29	0	0	14.4	11.5	16.6
2039	8	30	0	0	15.2	13.9	18.4
2039	8	31	0	0	15.3	10.2	20.6
2039	9	1	0	0	16.6	8.1	23.8
2039	9	2	0	0	17.3	7.7	24.9
2039	9	3	0	0	18.0	9.9	26.0
2039	9	4	0	0	18.8	11.4	26.6
2039	9	5	0	0	19.2	12.1	27.0
2039	9	6	0	0	19.4	11.8	27.5
2039	9	7	0	0	18.7	11.1	26.1
2039	9	8	0	0	19.5	10.6	27.3
2039	9	9	0	0	22.3	15.2	27.8
2039	9	10	0	0	20.2	16.5	24.4
2039	9	11	0	0	18.4	12.4	24.1
2039	9	12	0	0	17.1	10.3	24.5
2039	9	13	0	0	18.6	11.7	26.1
2039	9	14	0	0	20.2	12.8	27.3
2039	9	15	0	0	19.7	15.8	23.2
2039	9	16	0	0	17.5	13.6	20.4
2039	9	17	0	0	16.3	11.6	21.8
2039	9	18	0	0	15.8	8.1	23.0
2039	9	19	0	0	13.2	9.4	15.4
2039	9	20	0	0	14.4	10.2	19.3
2039	9	21	0	0	13.3	8.9	18.9
2039	9	22	0	0	12.3	6.5	20.0
2039	9	23	0	0	14.1	5.2	22.5
2039	9	24	0	0	15.2	7.7	24.0
2039	9	25	0	0	17.1	8.5	25.6
2039	9	26	0	0	18.0	13.4	22.5
2039	9	27	0	0	17.7	11.2	22.9
2039	9	28	0	0	14.1	8.5	18.3
2039	9	29	0	0	14.5	6.8	20.0
2039	9	30	0	0	9.8	3.7	16.7
2039	10	1	0	0	13.1	3.2	22.1
2039	10	2	0	0	17.9	11.8	23.7
2039	10	3	0	0	18.0	12.3	23.7
2039	10	4	0	0	12.0	11.2	12.7
2039	10	5	0	0	13.5	11.0	18.7
2039	10	6	0	0	12.0	9.8	15.7
2039	10	7	0	0	11.4	7.1	15.9
2039	10	8	0	0	11.6	5.3	18.1
2039	10	9	0	0	10.5	4.5	18.3
2039	10	10	0	0	7.2	1.6	14.8
2039	10	11	0	0	8.0	1.1	13.9
2039	10	12	0	0	9.9	6.4	13.0
2039	10	13	0	0	7.9	1.9	12.9
2039	10	14	0	0	7.0	0.1	14.8
2039	10	15	0	0	8.0	2.3	16.0
2039	10	16	0	0	7.5	1.4	12.3
2039	10	17	0	0	8.0	5.1	10.5
2039	10	18	0	0	8.4	5.2	13.7
2039	10	19	0	0	11.9	6.1	20.7
2039	10	20	0	0	16.9	5.8	22.1
2039	10	21	0	0	14.5	8.7	16.9
2039	10	22	0	0	8.7	4.5	13.1
2039	10	23	0	0	8.0	1.7	14.1
2039	10	24	0	0	5.8	-1.1	14.8
2039	10	25	0	0	9.6	1.3	18.4
2039	10	26	0	0	11.4	5.1	16.3
2039	10	27	0	0	7.9	2.2	16.0
2039	10	28	0	0	7.7	0.8	18.3
2039	10	29	0	0	8.0	1.6	19.0
2039	10	30	0	0	7.6	2.6	11.7
2039	10	31	0	0	13.5	9.1	19.9
2039	11	1	0	0	11.4	6.5	16.6
2039	11	2	0	0	9.1	5.9	11.5
2039	11	3	0	0	8.3	6.3	9.9
2039	11	4	0	0	7.0	6.2	8.9
2039	11	5	0	0	6.8	0.5	10.4
2039	11	6	0	0	3.1	-1.4	8.5
2039	11	7	0	0	6.7	2.3	10.8
2039	11	8	0	0	5.4	-1.0	11.2
2039	11	9	0	0	2.2	-2.7	9.8
2039	11	10	0	0	2.2	-1.3	6.8
2039	11	11	0	0	2.3	-0.9	3.6
2039	11	12	0	0	2.3	1.4	3.4
2039	11	13	0	0	6.8	0.8	10.8
2039	11	14	0	0	8.9	6.9	11.3
2039	11	15	0	0	8.4	6.6	9.8
2039	11	16	0	0	6.6	5.8	8.0
2039	11	17	0	0	5.8	3.8	6.5
2039	11	18	0	0	5.8	-0.3	10.0
2039	11	19	0	0	2.8	-1.1	5.6
2039	11	20	0	0	4.2	2.8	5.1
2039	11	21	0	0	2.7	2.2	3.5
2039	11	22	0	0	5.1	3.2	7.3
2039	11	23	0	0	2.8	-3.8	7.7
2039	11	24	0	0	-1.6	-6.1	4.3
2039	11	25	0	0	-1.3	-4.9	1.0
2039	11	26	0	0	2.2	0.1	5.8
2039	11	27	0	0	3.9	0.1	5.7
2039	11	28	0	0	2.6	0.4	5.0
2039	11	29	0	0	1.6	0.4	4.5
2039	11	30	0	0	3.5	1.8	5.7
2039	12	1	0	0	8.3	5.4	10.9
2039	12	2	0	0	4.2	0.3	6.6
2039	12	3	0	0	1.6	-2.8	3.9
2039	12	4	0	0	7.7	1.8	11.1
2039	12	5	0	0	4.0	0.4	6.3
2039	12	6	0	0	2.7	-1.1	5.3
2039	12	7	0	0	4.7	2.0	7.9
2039	12	8	0	0	5.3	2.5	7.0
2039	12	9	0	0	4.2	0.6	5.7
2039	12	10	0	0	2.9	-0.9	4.9
2039	12	11	0	0	3.6	1.3	4.4
2039	12	12	0	0	2.1	-3.0	6.2
2039	12	13	0	0	3.8	-0.2	9.2
2039	12	14	0	0	2.5	0.2	4.1
2039	12	15	0	0	3.8	2.9	4.6
2039	12	16	0	0	3.7	-1.3	5.5
2039	12	17	0	0	0.5	-2.2	3.7
2039	12	18	0	0	0.5	-1.0	2.1
2039	12	19	0	0	0.5	-0.5	1.4
2039	12	20	0	0	0.5	-4.1	4.3
2039	12	21	0	0	-3.6	-5.2	-2.5
2039	12	22	0	0	-4.6	-7.3	-0.1
2039	12	23	0	0	3.4	-6.8	11.8
2039	12	24	0	0	10.1	7.8	11.6
2039	12	25	0	0	10.0	5.2	12.1
2039	12	26	0	0	7.0	3.0	10.0
2039	12	27	0	0	8.5	5.8	11.5
2039	12	28	0	0	11.4	10.1	13.6
2039	12	29	0	0	11.1	8.8	14.3
2039	12	30	0	0	14.2	8.4	15.7
2039	12	31	0	0	9.6	3.2	16.9
2040	1	1	0	0	6.5	1.4	14.5
2040	1	2	0	0	9.5	0.4	16.6
2040	1	3	0	0	12.2	11.3	13.3
2040	1	4	0	0	11.4	5.1	16.5
2040	1	5	0	0	4.1	2.2	6.7
2040	1	6	0	0	1.8	-3.0	4.4
2040	1	7	0	0	2.0	-3.0	5.7
2040	1	8	0	0	5.1	2.0	8.0
2040	1	9	0	0	4.8	1.9	7.9
2040	1	10	0	0	1.7	-3.4	5.4
2040	1	11	0	0	-2.4	-5.6	0.1
2040	1	12	0	0	-3.6	-8.3	1.8
2040	1	13	0	0	-2.8	-7.3	1.2
2040	1	14	0	0	-0.8	-5.2	6.2
2040	1	15	0	0	-2.8	-4.3	-1.8
2040	1	16	0	0	0.0	-5.9	5.2
2040	1	17	0	0	2.4	-1.7	5.5
2040	1	18	0	0	2.7	-2.3	8.4
2040	1	19	0	0	1.3	-4.6	6.1
2040	1	20	0	0	2.5	-1.7	5.5
2040	1	21	0	0	1.3	-2.3	4.9
2040	1	22	0	0	2.3	-1.6	6.6
2040	1	23	0	0	2.1	-2.6	7.5
2040	1	24	0	0	-0.3	-4.8	6.2
2040	1	25	0	0	-0.2	-5.2	8.3
2040	1	26	0	0	-2.3	-4.7	-1.5
2040	1	27	0	0	-0.8	-2.2	2.8
2040	1	28	0	0	2.5	0.2	6.7
2040	1	29	0	0	2.7	-2.4	6.3
2040	1	30	0	0	5.2	-1.2	9.0
2040	1	31	0	0	4.2	-0.6	6.2
2040	2	1	0	0	3.7	2.7	5.0
2040	2	2	0	0	7.6	5.0	9.2
2040	2	3	0	0	6.5	1.1	10.1
2040	2	4	0	0	6.9	1.0	8.9
2040	2	5	0	0	4.2	-1.5	8.1
2040	2	6	0	0	6.6	4.6	7.9
2040	2	7	0	0	4.5	-2.0	8.2
2040	2	8	0	0	4.8	-0.5	11.3
2040	2	9	0	0	4.9	-2.5	13.7
2040	2	10	0	0	9.5	4.9	12.1
2040	2	11	0	0	4.3	-3.2	8.8
2040	2	12	0	0	0.9	-4.3	6.6
2040	2	13	0	0	6.1	-3.3	13.6
2040	2	14	0	0	7.4	2.7	11.9
2040	2	15	0	0	6.9	5.6	8.7
2040	2	16	0	0	10.1	7.2	13.4
2040	2	17	0	0	12.5	10.1	14.6
2040	2	18	0	0	12.3	7.5	16.1
2040	2	19	0	0	7.3	5.7	9.8
2040	2	20	0	0	8.4	6.0	11.0
2040	2	21	0	0	7.0	3.9	11.0
2040	2	22	0	0	7.7	5.8	9.8
2040	2	23	0	0	9.2	1.7	13.9
2040	2	24	0	0	7.2	0.4	13.9
2040	2	25	0	0	3.8	-0.3	8.0
2040	2	26	0	0	4.0	-0.8	8.8
2040	2	27	0	0	6.1	2.7	11.7
2040	2	28	0	0	3.1	-3.6	10.0
2040	2	29	0	0	3.4	-3.8	9.8
2040	3	1	0	0	2.9	-4.2	9.0
2040	3	2	0	0	3.8	-3.5	12.1
2040	3	3	0	0	2.8	-4.3	10.7
2040	3	4	0	0	2.7	-5.0	9.1
2040	3	5	0	0	2.4	-5.2	8.4
2040	3	6	0	0	2.8	-3.9	9.2
2040	3	7	0	0	2.2	-5.3	10.0
2040	3	8	0	0	4.2	-4.5	14.4
2040	3	9	0	0	5.6	-2.8	14.6
2040	3	10	0	0	6.3	-2.0	14.7
2040	3	11	0	0	9.3	2.3	15.6
2040	3	12	0	0	8.6	0.8	14.9
2040	3	13	0	0	9.6	4.7	15.2
2040	3	14	0	0	8.5	4.6	14.0
2040	3	15	0	0	7.2	4.7	10.9
2040	3	16	0	0	9.2	5.9	14.1
2040	3	17	0	0	9.3	6.2	12.6
2040	3	18	0	0	10.2	3.0	15.1
2040	3	19	0	0	10.2	3.5	18.4
2040	3	20	0	0	10.2	2.1	17.9
2040	3	21	0	0	9.2	0.3	17.1
2040	3	22	0	0	9.1	-0.6	18.4
2040	3	23	0	0	10.0	0.7	19.6
2040	3	24	0	0	10.6	1.1	19.7
2040	3	25	0	0	11.7	2.4	21.5
2040	3	26	0	0	12.1	2.9	20.8
2040	3	27	0	0	12.7	2.4	22.1
2040	3	28	0	0	13.9	6.1	18.8
2040	3	29	0	0	10.8	7.7	14.5
2040	3	30	0	0	7.6	5.5	10.4
2040	3	31	0	0	2.4	0.0	5.6
2040	4	1	0	0	0.6	0.0	1.9
2040	4	2	0	0	1.8	-0.5	4.5
2040	4	3	0	0	3.8	-4.8	9.2
2040	4	4	0	0	9.3	6.2	12.2
2040	4	5	0	0	12.1	10.1	15.4
2040	4	6	0	0	11.9	10.0	14.3
2040	4	7	0	0	11.1	1.8	15.0
2040	4	8	0	0	5.4	1.8	9.9
2040	4	9	0	0	6.1	-1.3	12.7
2040	4	10	0	0	9.6	-0.8	18.9
2040	4	11	0	0	13.9	3.4	22.7
2040	4	12	0	0	16.5	8.8	23.5
2040	4	13	0	0	15.5	8.7	21.4
2040	4	14	0	0	15.7	9.2	21.2
2040	4	15	0	0	11.9	5.4	17.6
2040	4	16	0	0	12.1	0.9	19.6
2040	4	17	0	0	11.9	4.2	18.5
2040	4	18	0	0	11.5	1.9	19.0
2040	4	19	0	0	13.2	5.5	18.5
2040	4	20	0	0	12.5	1.5	20.3
2040	4	21	0	0	12.7	4.3	18.6
2040	4	22	0	0	12.1	6.3	16.8
2040	4	23	0	0	9.9	8.1	11.7
2040	4	24	0	0	10.9	7.9	15.8
2040	4	25	0	0	10.7	7.9	15.5
2040	4	26	0	0	11.9	2.8	18.8
2040	4	27	0	0	15.3	4.5	21.7
2040	4	28	0	0	13.9	7.0	19.6
2040	4	29	0	0	12.0	6.1	16.6
2040	4	30	0	0	10.6	2.7	16.8
2040	5	1	0	0	12.5	4.4	19.8
2040	5	2	0	0	13.3	5.7	20.2
2040	5	3	0	0	13.4	6.0	21.3
